CIOCenterDiv,Center,Division,Branch,Total,Not Impacted,Admin Leave,Reinstated,Separated,Unclear
CDC\NCHHSTP\DTE\FSB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of Tuberculosis Elimination,Field Services Branch,32,32,,,,
CDC\NCHHSTP\DTE\LB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of Tuberculosis Elimination,Laboratory Branch,27,27,,,,
CDC\NCHHSTP\DTE\OD,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of Tuberculosis Elimination,Office of the Director,23,23,,,,
CDC\NCHHSTP\DTE\SEOIB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of Tuberculosis Elimination,"Surveillance, Epidemiology, and Outbreak Investigation Branch",23,23,,,,
CDC\NCHHSTP\DVH\ESB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of Viral Hepatitis,Epidemiology and Surveillance Branch,20,20,,,,
CDC\NCHHSTP\DVH\LB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of Viral Hepatitis,Laboratory Branch,27,,,27,,
CDC\NCHHSTP\DVH\OD,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of Viral Hepatitis,Office of the Director,24,24,,,,
CDC\NCHHSTP\DVH\PB,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Division of Viral Hepatitis,Prevention Branch,20,20,,,,
CDC\NCHHSTP\OD,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Office of the Director,,29,29,,,,
CDC\NCHHSTP\OD\HCSO,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Office of the Director,Health Communication Science Office,23,23,,,,
CDC\NCHHSTP\OD\IO,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Office of the Director,Informatics Office,13,13,,,,
CDC\NCHHSTP\OD\OADS,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Office of the Director,Office of Administrative and Data Services,16,16,,,,
CDC\NCHHSTP\OD\OMPS,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Office of the Director,Office of Management and Program Support,20,20,,,,
CDC\NCHHSTP\OD\OPPP,"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Office of the Director,"Office of Policy, Planning, and Partnerships",14,14,,,,
CDC\NCIPC\DIP\ASB,National Center for Injury Prevention and Control,Division of Injury Prevention,Applied Science Branch,23,,,,23,
CDC\NCIPC\DIP\BIB,National Center for Injury Prevention and Control,Division of Injury Prevention,Behavioral Integration Branch,12,,,12,,
CDC\NCIPC\DIP\DAB,National Center for Injury Prevention and Control,Division of Injury Prevention,Data Analytics Branch,38,,,38,,
CDC\NCIPC\DIP\OD,National Center for Injury Prevention and Control,Division of Injury Prevention,Office of the Director,8,8,,,,
CDC\NCIPC\DIP\OD\OC,National Center for Injury Prevention and Control,Division of Injury Prevention,Office of Communications,9,,,,9,
CDC\NCIPC\DIP\OD\OMO,National Center for Injury Prevention and Control,Division of Injury Prevention,Office of Management and Program Operations,4,4,,,,
CDC\NCIPC\DIP\OD\OPP,National Center for Injury Prevention and Control,Division of Injury Prevention,Office of Policy and Partnerships,4,,,,4,
CDC\NCIPC\DIP\OD\OS,National Center for Injury Prevention and Control,Division of Injury Prevention,Office of Science,4,,,,4,
CDC\NCIPC\DIP\PIEB,National Center for Injury Prevention and Control,Division of Injury Prevention,Program Implementation and Evaluation Branch,27,,,,27,
CDC\NCIPC\DOP\CB,National Center for Injury Prevention and Control,Division of Overdose Prevention,Communications Branch,15,15,,,,
CDC\NCIPC\DOP\DFCB,National Center for Injury Prevention and Control,Division of Overdose Prevention,Drug Free Communities Branch,23,23,,,,
CDC\NCIPC\DOP\ESB,National Center for Injury Prevention and Control,Division of Overdose Prevention,Epidemiology and Surveillance Branch,31,31,,,,
CDC\NCIPC\DOP\HSRB,National Center for Injury Prevention and Control,Division of Overdose Prevention,Health Systems and Research Branch,17,17,,,,
CDC\NCIPC\DOP\OD,National Center for Injury Prevention and Control,Division of Overdose Prevention,Office of the Director,3,3,,,,
CDC\NCIPC\DOP\OD\OADPI,National Center for Injury Prevention and Control,Division of Overdose Prevention,Office of Associate Director Program Implementation,4,4,,,,
CDC\NCIPC\DOP\OD\OADSP,National Center for Injury Prevention and Control,Division of Overdose Prevention,Office of Associate Director for Science,1,1,,,,
CDC\NCIPC\DOP\OD\OADSP\OADS,National Center for Injury Prevention and Control,Division of Overdose Prevention,Office of Associate Director for Science,5,5,,,,
CDC\NCIPC\DOP\OD\ODDMPO,National Center for Injury Prevention and Control,Division of Overdose Prevention,Office of Deputy Director for Management and Program Operations,9,9,,,,
CDC\NCIPC\DOP\OD\ODDMPO\OMPO,National Center for Injury Prevention and Control,Division of Overdose Prevention,Office of Management and Program Operations,3,3,,,,
CDC\NCIPC\DOP\OD\OPPC,National Center for Injury Prevention and Control,Division of Overdose Prevention,"Office of Policy, Partnerships, and Communications",5,5,,,,
CDC\NCIPC\DOP\PPEB,National Center for Injury Prevention and Control,Division of Overdose Prevention,Prevention Programs and Evaluation Branch,36,36,,,,
CDC\NCIPC\DOP\SPIB,National Center for Injury Prevention and Control,Division of Overdose Prevention,State Program Implementation Branch,25,25,,,,
CDC\NCIPC\DVP,National Center for Injury Prevention and Control,Division of Violence Prevention,Office of the Director,1,1,,,,
CDC\NCIPC\DVP\FEPB,National Center for Injury Prevention and Control,Division of Violence Prevention,Field Epidemiology and Prevention Branch,16,,,,16,
CDC\NCIPC\DVP\OD,National Center for Injury Prevention and Control,Division of Violence Prevention,Office of the Director,2,2,,,,
CDC\NCIPC\DVP\OD\ODDMPO,National Center for Injury Prevention and Control,Division of Violence Prevention,Office of Deputy Director for Management and Program Operations,3,3,,,,
CDC\NCIPC\DVP\OD\ODDMPO\OMO,National Center for Injury Prevention and Control,Division of Violence Prevention,Office of Management and Program Operations,12,,,12,,
CDC\NCIPC\DVP\OD\OPPC,National Center for Injury Prevention and Control,Division of Violence Prevention,"Office of Policy, Partnerships, and Communications",21,,,21,,
CDC\NCIPC\DVP\OD\OSDSP,National Center for Injury Prevention and Control,Division of Violence Prevention,Office of Associate Director for Science,4,4,,,,
CDC\NCIPC\DVP\OD\OSDSP\OADS,National Center for Injury Prevention and Control,Division of Violence Prevention,Office of Associate Director for Science,2,2,,,,
CDC\NCIPC\DVP\REB,National Center for Injury Prevention and Control,Division of Violence Prevention,Research and Evaluation Branch,30,,,,30,
CDC\NCIPC\DVP\SB,National Center for Injury Prevention and Control,Division of Violence Prevention,Surveillance Branch,34,34,,,,
CDC\NCIPC\DVP\VPPT,National Center for Injury Prevention and Control,Division of Violence Prevention,Violence Prevention Practice and Translation Branch,47,,,,47,
CDC\NCIPC\OD,National Center for Injury Prevention and Control,Office of the Director,,5,5,,,,
CDC\NCIPC\OD\ODD,National Center for Injury Prevention and Control,Office of the Director,Office of the Deputy Director,5,5,,,,
CDC\NCIPC\OD\ODD\OI,National Center for Injury Prevention and Control,Office of the Director,Office of Informatics,14,,,14,,
CDC\NCIPC\OD\ODD\OS,National Center for Injury Prevention and Control,Office of the Director,Office of Science,40,,,40,,
CDC\NCIPC\OD\ODD\OSI,National Center for Injury Prevention and Control,Office of the Director,Office of Strategy and Innovation,9,9,,,,
CDC\NCIPC\OD\ODDMO,National Center for Injury Prevention and Control,Office of the Director,Office of the Deputy Director for Management and Operations,3,3,,,,
CDC\NCIPC\OD\ODDMO\OC,National Center for Injury Prevention and Control,Office of the Director,Office of Communications,21,,,21,,
CDC\NCIPC\OD\ODDMO\OPMO,National Center for Injury Prevention and Control,Office of the Director,Office of Program Management and Operations,39,,,39,,
CDC\NCIPC\OD\ODDMO\OPP,National Center for Injury Prevention and Control,Office of the Director,Office of Policy and Partnerships,19,,,19,,
CDC\NCIRD\CORVD\CORVEB,National Center for Immunization and Respiratory Diseases,Coronavirus and Other Respiratory Virus Division,Coronavirus And Other Respiratory Viruses Epidemiology Branch,18,18,,,,
CDC\NCIRD\CORVD\CORVLB,National Center for Immunization and Respiratory Diseases,Coronavirus and Other Respiratory Virus Division,Coronavirus And Other Respiratory Viruses Laboratory Branch,47,47,,,,
CDC\NCIRD\CORVD\CORVSPB,National Center for Immunization and Respiratory Diseases,Coronavirus and Other Respiratory Virus Division,Coronavirus And Other Respiratory Viruses Surveillance and Prevention Branch,25,25,,,,
CDC\NCIRD\CORVD\GCORVB,National Center for Immunization and Respiratory Diseases,Coronavirus and Other Respiratory Virus Division,Global Coronavirus And Other Respiratory Viruses Branch,19,19,,,,
CDC\NCIRD\CORVD\OD,National Center for Immunization and Respiratory Diseases,Coronavirus and Other Respiratory Virus Division,Office of the Director,43,43,,,,
CDC\NCIRD\DBD\MPDLB,National Center for Immunization and Respiratory Diseases,Division of Bacterial Diseases,Meningitis Pertussis And Diphtheria Laboratory Branch,34,34,,,,
CDC\NCIRD\DBD\MVPDB,National Center for Immunization and Respiratory Diseases,Division of Bacterial Diseases,Meningitis Pertussis And Diphtheria Disease Branch,13,13,,,,
CDC\NCIRD\DBD\OD,National Center for Immunization and Respiratory Diseases,Division of Bacterial Diseases,Office of the Director,19,19,,,,
CDC\NCIRD\DBD\PSLB,National Center for Immunization and Respiratory Diseases,Division of Bacterial Diseases,Pneumonia And Streptococcus Laboratory Branch,31,31,,,,
CDC\NCIRD\DBD\RDB,National Center for Immunization and Respiratory Diseases,Division of Bacterial Diseases,Respiratory Diagnostics Branch,22,22,,,,
CDC\NCIRD\DVD\OD,National Center for Immunization and Respiratory Diseases,Division of Viral Diseases,Office of the Director,39,39,,,,
CDC\NCIRD\DVD\PPLB,National Center for Immunization and Respiratory Diseases,Division of Viral Diseases,Polio And Picornavirus Laboratory Branch,39,39,,,,
CDC\NCIRD\DVD\VGB,National Center for Immunization and Respiratory Diseases,Division of Viral Diseases,Viral Gastroenteritis Branch,29,29,,,,
CDC\NCIRD\DVD\VVPDB,National Center for Immunization and Respiratory Diseases,Division of Viral Diseases,Viral Vaccine Preventable Diseases Branch,49,49,,,,
CDC\NCIRD\ID\EPB,National Center for Immunization and Respiratory Diseases,Influenza Division,Epidemiology And Prevention Branch,50,50,,,,
CDC\NCIRD\ID\GIB,National Center for Immunization and Respiratory Diseases,Influenza Division,Global Influenza Branch,35,35,,,,
CDC\NCIRD\ID\IPB,National Center for Immunization and Respiratory Diseases,Influenza Division,Immunology And Pathogenesis Branch,33,33,,,,
CDC\NCIRD\ID\OD,National Center for Immunization and Respiratory Diseases,Influenza Division,Office of the Director,45,45,,,,
CDC\NCIRD\ID\VSDB,National Center for Immunization and Respiratory Diseases,Influenza Division,Virology Surveillance And Diagnosis Branch,72,72,,,,
CDC\NCIRD\ISD\ARISE,National Center for Immunization and Respiratory Diseases,Immunization Services Division,Applied Research Implementation Science And Evaluation Branch,27,27,,,,
CDC\NCIRD\ISD\FSB,National Center for Immunization and Respiratory Diseases,Immunization Services Division,Field Services Branch,62,62,,,,
CDC\NCIRD\ISD\HECB,National Center for Immunization and Respiratory Diseases,Immunization Services Division,Health Education And Communication Branch,20,20,,,,
CDC\NCIRD\ISD\IDAB,National Center for Immunization and Respiratory Diseases,Immunization Services Division,Informatics And Data Analytics Branch,38,38,,,,
CDC\NCIRD\ISD\IOSB,National Center for Immunization and Respiratory Diseases,Immunization Services Division,Immunization Outreach And Services Branch,26,26,,,,
CDC\NCIRD\ISD\OD,National Center for Immunization and Respiratory Diseases,Immunization Services Division,Office of the Director,48,48,,,,
CDC\NCIRD\ISD\PHEB,National Center for Immunization and Respiratory Diseases,Immunization Services Division,Partnership And Health Equity Branch,18,,,,18,
CDC\NCIRD\ISD\SEB,National Center for Immunization and Respiratory Diseases,Immunization Services Division,Surveillance And Epidemiology Branch,27,27,,,,
CDC\NCIRD\ISD\VSAB,National Center for Immunization and Respiratory Diseases,Immunization Services Division,Vaccine Supply And Assurance Branch,29,29,,,,
CDC\NCIRD\OD,National Center for Immunization and Respiratory Diseases,Office of the Director,,159,,,159,,
CDC\NIOSH\DCAS,National Institute for Occupational Safety and Health,Division of Compensation Analysis and Support,Office of the Director,28,,,28,,
CDC\NIOSH\DFSE,National Institute for Occupational Safety and Health,Division of Field Studies and Engineering,Office of the Director,17,,,17,,
CDC\NIOSH\DFSE\EPHB,National Institute for Occupational Safety and Health,Division of Field Studies and Engineering,Engineering & Physical Hazards Branch,23,,,23,,
CDC\NIOSH\DFSE\FRB,National Institute for Occupational Safety and Health,Division of Field Studies and Engineering,Field Research Branch,28,,,28,,
CDC\NIOSH\DFSE\HETAB,National Institute for Occupational Safety and Health,Division of Field Studies and Engineering,Hazard Evaluations & Technical Assistance Branch,19,,,19,,
CDC\NIOSH\DFSE\HIB,National Institute for Occupational Safety and Health,Division of Field Studies and Engineering,Health Informatics Branch,24,,,24,,
CDC\NIOSH\DSI,National Institute for Occupational Safety and Health,Division of Science Integration,Office of the Director,12,,,12,,
CDC\NIOSH\DSI\ETB,National Institute for Occupational Safety and Health,Division of Science Integration,Emerging Technologies Branch,8,,,8,,
CDC\NIOSH\DSI\REB,National Institute for Occupational Safety and Health,Division of Science Integration,Risk Evaluation Branch,11,,,11,,
CDC\NIOSH\DSI\SAB,National Institute for Occupational Safety and Health,Division of Science Integration,Science Applications Branch,22,,,22,,
CDC\NIOSH\DSI\SSTRB,National Institute for Occupational Safety and Health,Division of Science Integration,Social Science & Translation Research Branch,12,,,12,,
CDC\NIOSH\DSR,National Institute for Occupational Safety and Health,Division of Safety Research,Office of the Director,9,,,9,,
CDC\NIOSH\DSR\AFEB,National Institute for Occupational Safety and Health,Division of Safety Research,Analysis & Field Evaluation Branch,11,,,11,,
CDC\NIOSH\DSR\PTB,National Institute for Occupational Safety and Health,Division of Safety Research,Protective Technology Branch,15,,,15,,
CDC\NIOSH\DSR\SFIB,National Institute for Occupational Safety and Health,Division of Safety Research,Surveillance & Field Investigations Branch,17,,,17,,
CDC\NIOSH\HELD,National Institute for Occupational Safety and Health,Health Effects Lab Division,Office of the Director,21,,,21,,
CDC\NIOSH\HELD\ACIB,National Institute for Occupational Safety and Health,Health Effects Lab Division,Allergy & Clinical Immunology Branch,25,,,25,,
CDC\NIOSH\HELD\CBMB,National Institute for Occupational Safety and Health,Health Effects Lab Division,Chemical & Biological Monitoring Branch,26,,,26,,
CDC\NIOSH\HELD\PERB,National Institute for Occupational Safety and Health,Health Effects Lab Division,Physical Effects Research Branch,17,,,17,,
CDC\NIOSH\HELD\PPRB,National Institute for Occupational Safety and Health,Health Effects Lab Division,Pathology & Physiological Research Branch,25,,,25,,
CDC\NIOSH\HELD\TMBB,National Institute for Occupational Safety and Health,Health Effects Lab Division,Toxicology & Molecular Biology Branch,17,,,17,,
CDC\NIOSH\NPPTL,National Institute for Occupational Safety and Health,National Personal Protective Technology Laboratory,Office of the Director,15,,,15,,
CDC\NIOSH\NPPTL\CVSDB,National Institute for Occupational Safety and Health,National Personal Protective Technology Laboratory,Conformity Verification & Standards Development Branch,18,,,18,,
CDC\NIOSH\NPPTL\ETB,National Institute for Occupational Safety and Health,National Personal Protective Technology Laboratory,Emerging Technologies Branch,30,,,30,,
CDC\NIOSH\NPPTL\RB,National Institute for Occupational Safety and Health,National Personal Protective Technology Laboratory,Research Branch,24,,,24,,
CDC\NIOSH\OD,National Institute for Occupational Safety and Health,Office of the Director,,60,,,60,,
CDC\NIOSH\OD\ODDM,National Institute for Occupational Safety and Health,Office of the Director,Office of the Deputy Director for Management,8,,,8,,
CDC\NIOSH\OD\ODDM\FMO,National Institute for Occupational Safety and Health,Office of the Director,Facilities Management Office,36,,,36,,
CDC\NIOSH\OD\ODDM\FRM,National Institute for Occupational Safety and Health,Office of the Director,Fiscal Resources Management Office,21,,,21,,
CDC\NIOSH\OD\ODDM\HCMO,National Institute for Occupational Safety and Health,Office of the Director,Human Capital Management Office,13,,,13,,
CDC\NIOSH\OD\ODDM\ITIISO,National Institute for Occupational Safety and Health,Office of the Director,Information Technology & Informatics Services Office,40,,,40,,
CDC\NIOSH\OD\ODDM\PPEO,National Institute for Occupational Safety and Health,Office of the Director,"Policy, Planning, & Evaluation Office",35,,,35,,
CDC\NIOSH\OD\OECSP,National Institute for Occupational Safety and Health,Office of the Director,Office of Extramural Coordination & Special Projects,17,,,17,,
CDC\NIOSH\PMRD\HHPB,National Institute for Occupational Safety and Health,Pittsburgh Mining Research Division,Health Hazards Prevention Branch,26,,,26,,
CDC\NIOSH\PMRD\HSIB,National Institute for Occupational Safety and Health,Pittsburgh Mining Research Division,Human Systems Integration Branch,35,,,35,,
CDC\NIOSH\PMRD\MSSB,National Institute for Occupational Safety and Health,Pittsburgh Mining Research Division,Mining Systems Safety Branch,40,,,40,,
CDC\NIOSH\PMRD\OD,National Institute for Occupational Safety and Health,Pittsburgh Mining Research Division,Office of the Director,15,,,15,,
CDC\NIOSH\RHD,National Institute for Occupational Safety and Health,Respiratory Health Division,Office of the Director,1,,,1,,
CDC\NIOSH\RHD\FSB,National Institute for Occupational Safety and Health,Respiratory Health Division,Field Studies Branch,25,,,25,,
CDC\NIOSH\RHD\OD,National Institute for Occupational Safety and Health,Respiratory Health Division,Office of the Director,10,,,10,,
CDC\NIOSH\RHD\SB,National Institute for Occupational Safety and Health,Respiratory Health Division,Surveillance Branch,22,,,22,,
CDC\NIOSH\SMRD,National Institute for Occupational Safety and Health,Spokane Mining Research Division,Office of the Director,1,,,1,,
CDC\NIOSH\SMRD\MHB,National Institute for Occupational Safety and Health,Spokane Mining Research Division,Miner Health Branch,9,,,9,,
CDC\NIOSH\SMRD\msb,National Institute for Occupational Safety and Health,Spokane Mining Research Division,Miner Safety Branch,25,,,25,,
CDC\NIOSH\SMRD\OD,National Institute for Occupational Safety and Health,Spokane Mining Research Division,Office of the Director,8,,,8,,
CDC\NIOSH\WSD,National Institute for Occupational Safety and Health,Western States Division,Office of the Director,19,,,19,,
CDC\NIOSH\WTCHP,National Institute for Occupational Safety and Health,World Trade Center Health Program,Office of the Director,2,,,2,,
CDC\NIOSH\WTCHP\BOB,National Institute for Occupational Safety and Health,World Trade Center Health Program,Business Operations Branch,16,,,16,,
CDC\NIOSH\WTCHP\HBB,National Institute for Occupational Safety and Health,World Trade Center Health Program,Health Benefits Branch,31,,,31,,
CDC\NIOSH\WTCHP\OD,National Institute for Occupational Safety and Health,World Trade Center Health Program,Office of the Director,20,,,20,,
CDC\NIOSH\WTCHP\REB,National Institute for Occupational Safety and Health,World Trade Center Health Program,Research & Evaluation Branch,24,,,24,,
CDC\OD,Office of the Director,,,6,6,,,,
CDC\OD\CDCWO,Office of the Director,CDC Washington Office,,22,,,22,,
CDC\OD\OBPA,Office of the Director,Office of Budget and Performance and Analysis,,13,13,,,,
CDC\OD\OC\DCSS\CSB,Office of Communications,Division of Communication Science and Services,Communication Science Branch,9,,,9,,
CDC\OD\OC\DCSS\CSSB,Office of Communications,Division of Communication Science and Services,Communication Support And Services Branch,11,,,11,,
CDC\OD\OC\DCSS\OD,Office of Communications,Division of Communication Science and Services,Office of the Director,4,4,,,,
CDC\OD\OC\DMD\CEB,Office of Communications,Digital Media Division,Content and Engagement Branch,20,,,,20,
CDC\OD\OC\DMD\ETB,Office of Communications,Digital Media Division,Enterprise Technology Branch,16,,,,16,
CDC\OD\OC\DMD\OD,Office of Communications,Digital Media Division,Office of the Director,3,,,,3,
CDC\OD\OC\DMD\VDB,Office of Communications,Digital Media Division,Visual Design Branch,31,,,,31,
CDC\OD\OC\DMR\BmB,Office of Communications,Division of Media Relations,Broadcast and Multimedia Branch,12,,,12,,
CDC\OD\OC\DMR\MSB,Office of Communications,Division of Media Relations,Media Support Branch,10,,,10,,
CDC\OD\OC\DMR\Od,Office of Communications,Division of Media Relations,Office of the Director,7,7,,,,
CDC\OD\OC\OD,Office of Communications,Office of the Director,,5,5,,,,
CDC\OD\OC\OD\OCM,Office of Communications,Office of the Director,Office of the CDC Museum,4,,,4,,
CDC\OD\OC\OD\OERC,Office of Communications,Office of the Director,Office Of Emergency And Risk Communications,14,14,,,,
CDC\OD\OC\OD\OICE,Office of Communications,Office of the Director,Office of Internal Communication and Engagement,13,13,,,,
CDC\OD\OC\OD\OMO,Office of Communications,Office of the Director,Office of Management and Operations,16,16,,,,
CDC\OD\OCOO\OCIO\CEO,Office of the Chief Information Officer,Customer Experience Office,Office of the Director,1,,,1,,
CDC\OD\OCOO\OCIO\CEO\CAB,Office of the Chief Information Officer,Customer Experience Office,Customer Assistance Branch,54,54,,,,
CDC\OD\OCOO\OCIO\CEO\GAB,Office of the Chief Information Officer,Customer Experience Office,Global Activities Branch,11,11,,,,
CDC\OD\OCOO\OCIO\CEO\OD,Office of the Chief Information Officer,Customer Experience Office,Office of the Director,14,,,14,,
CDC\OD\OCOO\OCIO\CEO\PSB,Office of the Chief Information Officer,Customer Experience Office,Program Services Branch,32,32,,,,
CDC\OD\OCOO\OCIO\CSPO\ATPB,Office of the Chief Information Officer,Cybersecurity Program Office,Advanced Threat Protection Branch,22,22,,,,
CDC\OD\OCOO\OCIO\CSPO\CIITB,Office of the Chief Information Officer,Cybersecurity Program Office,Cyber Intelligence and Insider Threat Branch,5,5,,,,
CDC\OD\OCOO\OCIO\CSPO\ETB,Office of the Chief Information Officer,Cybersecurity Program Office,Engineering and Technologies Branch,19,19,,,,
CDC\OD\OCOO\OCIO\CSPO\OD,Office of the Chief Information Officer,Cybersecurity Program Office,Office of the Director,24,24,,,,
CDC\OD\OCOO\OCIO\CSPO\PB,Office of the Chief Information Officer,Cybersecurity Program Office,,14,14,,,,
CDC\OD\OCOO\OCIO\CSPO\RCB,Office of the Chief Information Officer,Cybersecurity Program Office,"Governance, Risk, and Compliance Branch",1,1,,,,
CDC\OD\OCOO\OCIO\DSO\ASB,Office of the Chief Information Officer,Digital Services Office,Applied Science Branch,23,23,,,,
CDC\OD\OCOO\OCIO\DSO\BAB,Office of the Chief Information Officer,Digital Services Office,Business Automation Branch,6,6,,,,
CDC\OD\OCOO\OCIO\DSO\CSB,Office of the Chief Information Officer,Digital Services Office,Cloud Services Branch,11,11,,,,
CDC\OD\OCOO\OCIO\DSO\davb,Office of the Chief Information Officer,Digital Services Office,Data Analytics and Visualization Branch,8,8,,,,
CDC\OD\OCOO\OCIO\DSO\DTB,Office of the Chief Information Officer,Digital Services Office,Data Transport Branch,1,,,1,,
CDC\OD\OCOO\OCIO\DSO\IAMB,Office of the Chief Information Officer,Digital Services Office,Identity and Access Management Branch,19,19,,,,
CDC\OD\OCOO\OCIO\DSO\ISB,Office of the Chief Information Officer,Digital Services Office,Infrastructure Services Branch,45,45,,,,
CDC\OD\OCOO\OCIO\DSO\OD,Office of the Chief Information Officer,Digital Services Office,Office of the Director,16,,,,16,
CDC\OD\OCOO\OCIO\DSO\WPB,Office of the Chief Information Officer,Digital Services Office,Workplace Productivity Branch,8,8,,,,
CDC\OD\OCOO\OCIO\OD,Office of the Chief Information Officer,Office of the Director,,24,24,,,,
CDC\OD\OCOO\OCIO\OD\OBO,Office of the Chief Information Officer,Office of the Director,Office of Business Operations,36,36,,,,
CDC\OD\OCOO\OCIO\OD\TMO,Office of the Chief Information Officer,Office of the Director,Technology Modernization Office,12,12,,,,
CDC\OD\OCOO\OD,Office of the Chief Operating Officer,Office of the Director,,40,40,,,,
CDC\OD\OCOO\OD\FOIA,Office of the Chief Operating Officer,Office of the Director,Freedom of Information Act,22,,,,22,
CDC\OD\OCOO\OFR\OAS\AB-1,Office of Financial Resources,Office of Acquisition Services,Acquisition Branch 1,26,,,26,,
CDC\OD\OCOO\OFR\OAS\AB-2,Office of Financial Resources,Office of Acquisition Services,Acquisition Branch 2,23,,,23,,
CDC\OD\OCOO\OFR\OAS\AB-3,Office of Financial Resources,Office of Acquisition Services,Acquisition Branch 3,18,,,,18,
CDC\OD\OCOO\OFR\OAS\AB-4,Office of Financial Resources,Office of Acquisition Services,Acquisition Branch 4,21,,,,21,
CDC\OD\OCOO\OFR\OAS\AB-5,Office of Financial Resources,Office of Acquisition Services,Acquisition Branch 5,26,26,,,,
CDC\OD\OCOO\OFR\OAS\AB-6,Office of Financial Resources,Office of Acquisition Services,Acquisition Branch 6,33,,,,33,
CDC\OD\OCOO\OFR\OAS\od,Office of Financial Resources,Office of Acquisition Services,Office of the Director,31,,,,,31
CDC\OD\OCOO\OFR\OBS\BCCSB,Office of Financial Resources,Office of Budget Services,Budget Control and Compliance Services Branch,11,11,,,,
CDC\OD\OCOO\OFR\OBS\BESB - 3,Office of Financial Resources,Office of Budget Services,Budget Execution Services Branch 3,12,,,12,,
CDC\OD\OCOO\OFR\OBS\BESB - 4,Office of Financial Resources,Office of Budget Services,Budget Execution Services Branch 4,13,13,,,,
CDC\OD\OCOO\OFR\OBS\BESB -2,Office of Financial Resources,Office of Budget Services,Budget Execution Services Branch 2,13,13,,,,
CDC\OD\OCOO\OFR\OBS\BESB-1,Office of Financial Resources,Office of Budget Services,Budget Execution Services Branch 1,12,12,,,,
CDC\OD\OCOO\OFR\OBS\BFSB,Office of Financial Resources,Office of Budget Services,Budget Formulation and Services Branch,3,3,,,,
CDC\OD\OCOO\OFR\OBS\BPASB,Office of Financial Resources,Office of Budget Services,Budget Planning and Analytic Services Branch,11,11,,,,
CDC\OD\OCOO\OFR\OBS\OD,Office of Financial Resources,Office of Budget Services,Office of the Director,10,10,,,,
CDC\OD\OCOO\OFR\OBS\TDSFBESB,Office of Financial Resources,Office of Budget Services,Training Development and Specialized Funding Budget Execution Services Branch,11,11,,,,
CDC\OD\OCOO\OFR\OD,Office of Financial Resources,Office of the Director,,3,3,,,,
CDC\OD\OCOO\OFR\OD\OFIS,Office of Financial Resources,Office of the Director,Office of Financial Information Systems,17,17,,,,
CDC\OD\OCOO\OFR\OD\OMS,Office of Financial Resources,Office of the Director,Office of Management Services,27,27,,,,
CDC\OD\OCOO\OFR\OD\OPPC,Office of Financial Resources,Office of the Director,"Office of Policy, Planning, and Coordination",15,15,,,,
CDC\OD\OCOO\OFR\OD\ORMIC,Office of Financial Resources,Office of the Director,Office of Risk Management and Internal Controls,13,13,,,,
CDC\OD\OCOO\OFR\OFAS\AB,Office of Financial Resources,Office of Finance and Accounting Services,Acquisition Branch,16,16,,,,
CDC\OD\OCOO\OFR\OFAS\CPB,Office of Financial Resources,Office of Finance and Accounting Services,Commercial Payment Branch,27,27,,,,
CDC\OD\OCOO\OFR\OFAS\DMB,Office of Financial Resources,Office of Finance and Accounting Services,Debt Management Branch,12,12,,,,
CDC\OD\OCOO\OFR\OFAS\OD,Office of Financial Resources,Office of Finance and Accounting Services,Office of the Director,2,2,,,,
CDC\OD\OCOO\OFR\OFAS\TIIPB,Office of Financial Resources,Office of Finance and Accounting Services,"Travel, IPAC, & International Payment Branch",24,24,,,,
CDC\OD\OCOO\OFR\OGS,Office of Financial Resources,Office of Grant Services,Office of the Director,2,2,,,,
CDC\OD\OCOO\OFR\OGS\CDBDSB,Office of Financial Resources,Office of Grant Services,Chronic Diseases and Birth Defects Services Branch,27,27,,,,
CDC\OD\OCOO\OFR\OGS\GHSB,Office of Financial Resources,Office of Grant Services,Global Health Services Branch,18,18,,,,
CDC\OD\OCOO\OFR\OGS\GHSPB,Office of Financial Resources,Office of Grant Services,Global Health Services PEPFAR Branch,18,18,,,,
CDC\OD\OCOO\OFR\OGS\IDSB,Office of Financial Resources,Office of Grant Services,Infectious Diseases Services Branch,15,15,,,,
CDC\OD\OCOO\OFR\OGS\OD,Office of Financial Resources,Office of Grant Services,Office of the Director,2,2,,,,
CDC\OD\OCOO\OFR\OGS\OEOHIPSB,Office of Financial Resources,Office of Grant Services,"OD, Environmental, Occupational Health, & Injury Prevention Services Branch",13,13,,,,
