CIOCenterDiv,Center,Division,Branch,Total,Not Impacted,Admin Leave,Reinstated,Separated,Unclear
CDC\NCBDDD\DHDD,National Center on Birth Defects and Developmental Disabilities,Division of Human Development and Disability,Office of the Director,22,22,,,,
CDC\NCBDDD\DHDD\CDDB,National Center on Birth Defects and Developmental Disabilities,Division of Human Development and Disability,Child Development and Disability Branch,21,21,,,,
CDC\NCBDDD\DHDD\DHPB,National Center on Birth Defects and Developmental Disabilities,Division of Human Development and Disability,Disability and Health Promotion Branch,21,,21,,,
CDC\NCBDDD\DHDD\OD,National Center on Birth Defects and Developmental Disabilities,Division of Human Development and Disability,Office of the Director,5,5,,,,
CDC\NCBDDD\OD,National Center on Birth Defects and Developmental Disabilities,Office of the Director,,27,,27,,,
CDC\NCBDDD\OD\RMO,National Center on Birth Defects and Developmental Disabilities,Office of the Director,Resource Management office,9,,9,,,
CDC\NCCDPHP\DASH\OD,National Center for Chronic Disease Prevention and Health Promotion,Division of Adolescent and School Health,Office of the Director,19,19,,,,
CDC\NCCDPHP\DASH\PDSB,National Center for Chronic Disease Prevention and Health Promotion,Division of Adolescent and School Health,Program Development and Services Branch,18,18,,,,
CDC\NCCDPHP\DASH\RAEB,National Center for Chronic Disease Prevention and Health Promotion,Division of Adolescent and School Health,Research Application and Evaluation Branch,20,20,,,,
CDC\NCCDPHP\DASH\SBSB,National Center for Chronic Disease Prevention and Health Promotion,Division of Adolescent and School Health,School-Based Surveillance Branch,13,13,,,,
CDC\NCCDPHP\DCPC,National Center for Chronic Disease Prevention and Health Promotion,Division of Cancer Prevention and Control,Office of the Director,1,1,,,,
CDC\NCCDPHP\DCPC\CCCB,National Center for Chronic Disease Prevention and Health Promotion,Division of Cancer Prevention and Control,Comprehensive Cancer Control Branch,23,23,,,,
CDC\NCCDPHP\DCPC\CSB,National Center for Chronic Disease Prevention and Health Promotion,Division of Cancer Prevention and Control,Cancer Surveillance Branch,27,27,,,,
CDC\NCCDPHP\DCPC\EARB,National Center for Chronic Disease Prevention and Health Promotion,Division of Cancer Prevention and Control,Epidemiology and Applied Research Branch,23,23,,,,
CDC\NCCDPHP\DCPC\OD,National Center for Chronic Disease Prevention and Health Promotion,Division of Cancer Prevention and Control,Office of the Director,41,41,,,,
CDC\NCCDPHP\DCPC\PSB,National Center for Chronic Disease Prevention and Health Promotion,Division of Cancer Prevention and Control,Program Services Branch,23,23,,,,
CDC\NCCDPHP\DDT\OD,National Center for Chronic Disease Prevention and Health Promotion,Division of Diabetes Translation,Office of the Director,18,18,,,,
