unique_id,fiscal_year,agency,sub_agency,program,sub_program,sub_program_2,sub_program_3,budget_source,budget_stage,granularity,amount_millions,funding_type,program_status,is_non_add,source_id,source_page,"fte_center_abbrev	",fte_work_unit,fte_work_unit_certainty,fte_pct_rifd,fte_currently_rifd_count,fte_not_impacted,fte_admin_leave,fte_reinstated,fte_separated,fte_unclear,fte_total_fte
CDC-002267,2026,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Antibiotic Resistance Initiative,,,Operational Plan,Enacted,sub_program_level,197,Discretionary,Active,No,S026,1,NCEZID,Division of Healthcare Quality Promotion,High,0,0,370,0,0,0,0,370
CDC-002268,2026,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Vector-borne Diseases,,,Operational Plan,Enacted,sub_program_level,64.6,Discretionary,Active,No,S026,1,NCEZID,Division of Vectorborne Diseases,High,0,0,189,,,,,189
CDC-002269,2026,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Lyme Disease and Related Tick-Borne Illnesses,,,Operational Plan,Enacted,sub_program_level,27,Discretionary,Active,No,S026,1,NCEZID,Division of Vectorborne Diseases,High,0,0,189,,,,,189
CDC-002270,2026,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Prion Disease,,,Operational Plan,Enacted,sub_program_level,9,Discretionary,Active,No,S026,1,NCEZID,Division of High Consequence Pathogens and Pathology,High,0,0,166,,6,,,172
CDC-002271,2026,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Chronic Fatigue Syndrome,,,Operational Plan,Enacted,sub_program_level,5.4,Discretionary,Active,No,S026,1,NCEZID,Division of High Consequence Pathogens and Pathology,High,0,0,166,,6,,,172
CDC-002272,2026,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Emerging Infectious Diseases,,,Operational Plan,Enacted,sub_program_level,224,Discretionary,Active,No,S026,1,NCEZID,Division of High Consequence Pathogens and Pathology,High,0,0,166,,6,,,172
CDC-002273,2026,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Emerging Infectious Diseases,Mycotic Diseases,,Operational Plan,Enacted,sub_program_2_level,24,Discretionary,Active,Non-add,S026,1,NCEZID,Division of High Consequence Pathogens and Pathology,High,0,0,166,,6,,,172
CDC-002274,2026,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Emerging Infectious Diseases,Integration of Sepsis Data,,Operational Plan,Enacted,sub_program_2_level,5,Discretionary,Active,Non-add,S026,1,NCEZID,Division of High Consequence Pathogens and Pathology,High,0,0,166,,6,,,172
CDC-002275,2026,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Harmful Algal Blooms,,,Operational Plan,Enacted,sub_program_level,3.5,Discretionary,Active,No,S026,1,NCEZID,"Division of Foodborne, Waterborne, and Environmental Diseases",High,0,0,221,,,,,221
CDC-002276,2026,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Food Safety,,,Operational Plan,Enacted,sub_program_level,74,Discretionary,Active,No,S026,1,NCEZID,"Division of Foodborne, Waterborne, and Environmental Diseases",High,0,0,221,,,,,221
CDC-002277,2026,HHS,CDC,Emerging and Zoonotic Infectious Diseases,National Healthcare Safety Network,,,Operational Plan,Enacted,sub_program_level,24,Discretionary,Active,No,S026,1,NCEZID,Division of Healthcare Quality Promotion,High,0,0,370,,,,,370
CDC-002278,2026,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Quarantine,,,Operational Plan,Enacted,sub_program_level,57.8,Discretionary,Active,No,S026,1,NCEZID,Division of Global Migration Health,High,0,0,186,,,,,186
CDC-002279,2026,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Quarantine,Federal Isolation and Quarantine,,Operational Plan,Enacted,sub_program_2_level,1,Discretionary,Active,Non-add,S026,1,NCEZID,Division of Global Migration Health,High,0,0,186,,,,,186
CDC-002280,2026,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Advanced Molecular Detection (AMD),,,Operational Plan,Enacted,sub_program_level,43,Discretionary,Active,No,S026,1,NCEZID,Division of Infectious Disease Readiness and Innovation,High,0,0,139,,,,,139
CDC-002281,2026,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Epidemiology and Lab Capacity Program (PPHF),,,Operational Plan,Enacted,sub_program_level,40,PPHF,Active,No,S026,1,NCEZID,Division of Infectious Disease Readiness and Innovation,High,0,0,139,,,,,139
CDC-002282,2026,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Healthcare-Associated Infections (PPHF),,,Operational Plan,Enacted,sub_program_level,12,PPHF,Active,No,S026,1,NCEZID,Division of High Consequence Pathogens and Pathology,High,0,0,166,,6,,,172
CDC-002286,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Tobacco,,,Operational Plan,Enacted,sub_program_level,246.5,Total,Active,No,S026,1,NCCDPHP,Office on Smoking and Health,High,100,110,,110,,,,110
CDC-002287,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Tobacco,Tobacco - BA,,Operational Plan,Enacted,sub_program_2_level,46.5,Discretionary,Active,Subcomponent,S026,1,NCCDPHP,Office on Smoking and Health,High,100,110,,110,,,,110
CDC-002288,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Tobacco,Tobacco (PPHF),,Operational Plan,Enacted,sub_program_2_level,200,PPHF,Active,Subcomponent,S026,1,NCCDPHP,Office on Smoking and Health,High,100,110,,110,,,,110
CDC-002289,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,"Nutrition, Physical Activity and Obesity",,,Operational Plan,Enacted,sub_program_level,54.3,Discretionary,Active,No,S026,1,NCCDPHP,"Division of Nutrition, Physical Activity, and Obesity",High,0,0,112,,,,,112
CDC-002290,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,"Nutrition, Physical Activity and Obesity",High Obesity Rate Counties,,Operational Plan,Enacted,sub_program_2_level,16.5,Discretionary,Active,Non-add,S026,1,NCCDPHP,"Division of Nutrition, Physical Activity, and Obesity",High,0,0,112,,,,,112
CDC-002291,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,"Nutrition, Physical Activity and Obesity",Farm to School,,Operational Plan,Enacted,sub_program_2_level,0,Discretionary,Proposed Elimination,Non-add,S026,1,NCCDPHP,"Division of Nutrition, Physical Activity, and Obesity",High,0,0,112,,,,,112
CDC-002292,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,School Health,,,Operational Plan,Enacted,sub_program_level,19.4,Discretionary,Active,No,S026,1,NCCDPHP,Division of Adolescent and School Health,High,0,0,70,,,,,70
CDC-002293,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,School Health,Food Allergies,,Operational Plan,Enacted,sub_program_2_level,0,Discretionary,Proposed Elimination,Non-add,S026,1,NCCDPHP,Division of Adolescent and School Health,High,0,0,70,,,,,70
CDC-002294,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,,,Operational Plan,Enacted,sub_program_level,63.1,Discretionary,Active,No,S026,1,NCCDPHP,Division of Diabetes Translation,High,0,0,86,,,,,86
CDC-002295,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,Vision and Eye Health,,Operational Plan,Enacted,sub_program_2_level,4.5,Discretionary,Active,Subcomponent,S026,1,NCCDPHP,Division of Diabetes Translation,High,0,0,86,,,,,86
CDC-002296,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,Alzheimer's Disease,,Operational Plan,Enacted,sub_program_2_level,41.5,Discretionary,Active,Subcomponent,S026,1,NCCDPHP,Division of Population Health,High,86,88,14,,,88,,102
CDC-002297,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,Inflammatory Bowel Disease,,Operational Plan,Enacted,sub_program_2_level,3,Discretionary,Active,Subcomponent,S026,1,NCCDPHP,Division of Population Health,High,86,88,14,,,88,,102
CDC-002298,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,Interstitial Cystitis,,Operational Plan,Enacted,sub_program_2_level,2.1,Discretionary,Active,Subcomponent,S026,1,NCCDPHP,Division of Population Health,High,86,88,14,,,88,,102
CDC-002299,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,Excessive Alcohol Use,,Operational Plan,Enacted,sub_program_2_level,3,Discretionary,Active,Subcomponent,S026,1,NCCDPHP,Division of Population Health,High,86,88,14,,,88,,102
CDC-002300,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,Chronic Kidney Disease,,Operational Plan,Enacted,sub_program_2_level,4.5,Discretionary,Active,Subcomponent,S026,1,NCCDPHP,Division of Population Health,High,86,88,14,,,88,,102
CDC-002301,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,Chronic Disease Education and Awareness,,Operational Plan,Enacted,sub_program_2_level,4.5,Discretionary,Active,Subcomponent,S026,1,NCCDPHP,Division of Population Health,High,86,88,14,,,88,,102
CDC-002302,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Prevention Research Centers,,,Operational Plan,Enacted,sub_program_level,29,Discretionary,Active,No,S026,2,NCCDPHP,Division of Population Health,High,86,88,14,,,88,,102
CDC-002303,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Heart Disease and Stroke,,,Operational Plan,Enacted,sub_program_level,156.1,Total,Active,No,S026,2,NCCDPHP,Division of Heart Disease and Stroke Prevention,High,0,0,91,,,,,91
CDC-002304,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Heart Disease and Stroke,Heart Disease and Stroke - BA,,Operational Plan,Enacted,sub_program_2_level,45,Discretionary,Active,Subcomponent,S026,2,NCCDPHP,Division of Heart Disease and Stroke Prevention,High,0,0,91,,,,,91
CDC-002305,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Heart Disease and Stroke,Heart Disease and Stroke (PPHF),,Operational Plan,Enacted,sub_program_2_level,111.1,PPHF,Active,Subcomponent,S026,2,NCCDPHP,Division of Heart Disease and Stroke Prevention,High,0,0,91,,,,,91
CDC-002306,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Diabetes,,,Operational Plan,Enacted,sub_program_level,163.1,Total,Active,No,S026,2,NCCDPHP,Division of Diabetes Translation,High,0,0,86,,,,,86
CDC-002307,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Diabetes,Diabetes - BA,,Operational Plan,Enacted,sub_program_2_level,45,Discretionary,Active,Subcomponent,S026,2,NCCDPHP,Division of Diabetes Translation,High,0,0,86,,,,,86
CDC-002308,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Diabetes,Diabetes (PPHF),,Operational Plan,Enacted,sub_program_2_level,118.1,PPHF,Active,Subcomponent,S026,2,NCCDPHP,Division of Diabetes Translation,High,0,0,86,,,,,86
CDC-002309,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,National Diabetes Prevention Program,,,Operational Plan,Enacted,sub_program_level,37.3,Discretionary,Active,No,S026,2,NCCDPHP,Division of Diabetes Translation,High,0,0,86,,,,,86
CDC-002310,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Cancer Prevention and Control,,,Operational Plan,Enacted,sub_program_level,413,Discretionary,Active,No,S026,2,NCCDPHP,Division of Cancer Prevention and Control,High,0,0,138,,,,,138
CDC-002311,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Cancer Prevention and Control,Breast and Cervical Cancer,,Operational Plan,Enacted,sub_program_2_level,236.5,Discretionary,Active,Subcomponent,S026,2,NCCDPHP,Division of Cancer Prevention and Control,High,0,0,138,,,,,138
CDC-002312,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Cancer Prevention and Control,Breast and Cervical Cancer,WISEWOMAN,Operational Plan,Enacted,sub_program_3_level,34.6,Discretionary,Active,Non-add,S026,2,NCCDPHP,Division of Cancer Prevention and Control,High,0,0,138,,,,,138
CDC-002313,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Cancer Prevention and Control,Breast Cancer Awareness for Young Women,,Operational Plan,Enacted,sub_program_2_level,7,Discretionary,Active,Subcomponent,S026,2,NCCDPHP,Division of Cancer Prevention and Control,High,0,0,138,,,,,138
CDC-002314,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Cancer Prevention and Control,Cancer Registries,,Operational Plan,Enacted,sub_program_2_level,53.4,Discretionary,Active,Subcomponent,S026,2,NCCDPHP,Division of Cancer Prevention and Control,High,0,0,138,,,,,138
CDC-002315,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Cancer Prevention and Control,Colorectal Cancer,,Operational Plan,Enacted,sub_program_2_level,44.3,Discretionary,Active,Subcomponent,S026,2,NCCDPHP,Division of Cancer Prevention and Control,High,0,0,138,,,,,138
CDC-002316,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Cancer Prevention and Control,Comprehensive Cancer,,Operational Plan,Enacted,sub_program_2_level,22.4,Discretionary,Active,Subcomponent,S026,2,NCCDPHP,Division of Cancer Prevention and Control,High,0,0,138,,,,,138
CDC-002317,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Cancer Prevention and Control,Johanna's Law,,Operational Plan,Enacted,sub_program_2_level,12,Discretionary,Active,Subcomponent,S026,2,NCCDPHP,Division of Cancer Prevention and Control,High,0,0,138,,,,,138
CDC-002318,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Cancer Prevention and Control,Ovarian Cancer,,Operational Plan,Enacted,sub_program_2_level,15.5,Discretionary,Active,Subcomponent,S026,2,NCCDPHP,Division of Cancer Prevention and Control,High,0,0,138,,,,,138
CDC-002319,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Cancer Prevention and Control,Prostate Cancer,,Operational Plan,Enacted,sub_program_2_level,16.2,Discretionary,Active,Subcomponent,S026,2,NCCDPHP,Division of Cancer Prevention and Control,High,0,0,138,,,,,138
CDC-002320,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Cancer Prevention and Control,Skin Cancer,,Operational Plan,Enacted,sub_program_2_level,5,Discretionary,Active,Subcomponent,S026,2,NCCDPHP,Division of Cancer Prevention and Control,High,0,0,138,,,,,138
CDC-002321,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Cancer Prevention and Control,Cancer Survivorship Resource Center,,Operational Plan,Enacted,sub_program_2_level,0.7,Discretionary,Active,Subcomponent,S026,2,NCCDPHP,Division of Cancer Prevention and Control,High,0,0,138,,,,,138
CDC-002322,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Oral Health,,,Operational Plan,Enacted,sub_program_level,21.3,Discretionary,Active,No,S026,2,NCCDPHP,Division of Oral Health,High,100,20,,,,20,,20
CDC-002323,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Safe Motherhood/Infant Health,,,Operational Plan,Enacted,sub_program_level,113.5,Discretionary,Active,No,S026,2,NCCDPHP,Division of Reproductive Health,High,68,85,40,85,,,,125
CDC-002324,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Arthritis,,,Operational Plan,Enacted,sub_program_level,2,Discretionary,Active,No,S026,2,NCCDPHP,Division of Population Health,High,86,88,14,,,88,,102
CDC-002325,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Epilepsy,,,Operational Plan,Enacted,sub_program_level,11.5,Discretionary,Active,No,S026,2,NCCDPHP,Division of Population Health,High,86,88,14,,,88,,102
CDC-002326,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,National Lupus Patient Registry,,,Operational Plan,Enacted,sub_program_level,14,Discretionary,Active,No,S026,2,NCCDPHP,Division of Population Health,High,86,88,14,,,88,,102
CDC-002327,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Racial and Ethnic Approach to Community Health,,,Operational Plan,Enacted,sub_program_level,69,Discretionary,Active,No,S026,2,NCCDPHP,"Division of Nutrition, Physical Activity, and Obesity",High,0,0,112,,,,,112
CDC-002328,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Racial and Ethnic Approach to Community Health,Good Health and Wellness in Indian Country,,Operational Plan,Enacted,sub_program_2_level,27,Discretionary,Active,Non-add,S026,2,NCCDPHP,Division of Population Health,High,86,88,14,,,88,,102
CDC-002329,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Social Determinants of Health,,,Operational Plan,Enacted,sub_program_level,0,Discretionary,Proposed Elimination,No,S026,2,,,,,,,,,,,
CDC-002330,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Million Hearts (PPHF),,,Operational Plan,Enacted,sub_program_level,5,PPHF,Active,No,S026,2,NCCDPHP,Division of Heart Disease and Stroke Prevention,High,0,0,91,,,,,91
CDC-002331,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,National Early Child Care Collaboratives (PPHF),,,Operational Plan,Enacted,sub_program_level,5,PPHF,Active,No,S026,2,,,,,,,,,,,
CDC-002332,2026,HHS,CDC,Chronic Disease Prevention and Health Promotion,Hospitals Promoting Breastfeeding (PPHF),,,Operational Plan,Enacted,sub_program_level,9.8,PPHF,Active,No,S026,2,NCCDPHP,"Division of Nutrition, Physical Activity, and Obesity",High,0,0,112,,,,,112
CDC-002335,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Child Health and Development,,,Operational Plan,Enacted,sub_program_level,71.3,Discretionary,Active,No,S026,2,NCBDDD,Division of Birth Defects and Infant Disorders,High,0,0,76,,,,,76
CDC-002336,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Child Health and Development,Birth Defects,,Operational Plan,Enacted,sub_program_2_level,19,Discretionary,Active,Subcomponent,S026,2,NCBDDD,Division of Birth Defects and Infant Disorders,High,0,0,76,,,,,76
CDC-002337,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Child Health and Development,Fetal Death,,Operational Plan,Enacted,sub_program_2_level,0.9,Discretionary,Active,Subcomponent,S026,2,NCBDDD,Division of Birth Defects and Infant Disorders,High,0,0,76,,,,,76
CDC-002338,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Child Health and Development,Fetal Alcohol Syndrome,,Operational Plan,Enacted,sub_program_2_level,11.5,Discretionary,Active,Subcomponent,S026,2,NCBDDD,Division of Birth Defects and Infant Disorders,High,0,0,76,,,,,76
CDC-002339,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Child Health and Development,Folic Acid,,Operational Plan,Enacted,sub_program_2_level,3.2,Discretionary,Active,Subcomponent,S026,2,NCBDDD,Division of Birth Defects and Infant Disorders,High,0,0,76,,,,,76
CDC-002340,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Child Health and Development,Infant Health,,Operational Plan,Enacted,sub_program_2_level,8.7,Discretionary,Active,Subcomponent,S026,2,NCBDDD,Division of Birth Defects and Infant Disorders,High,0,0,76,,,,,76
CDC-002341,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Child Health and Development,Autism,,Operational Plan,Enacted,sub_program_2_level,28.1,Discretionary,Active,Subcomponent,S026,2,NCBDDD,Division of Human Development and Disability,High,30,21,48,21,,,,69
CDC-002342,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,,,Operational Plan,Enacted,sub_program_level,85.4,Discretionary,Active,No,S026,2,NCBDDD,Division of Human Development and Disability,High,30,21,48,21,,,,69
CDC-002343,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Disability and Health,,Operational Plan,Enacted,sub_program_2_level,46.5,Discretionary,Active,Subcomponent,S026,2,NCBDDD,Division of Human Development and Disability,High,30,21,48,21,,,,69
CDC-002344,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Disability and Health,Physical Activity for People with Disabilities,Operational Plan,Enacted,sub_program_3_level,20.5,Discretionary,Active,Non-add,S026,2,NCBDDD,Division of Human Development and Disability,High,30,21,48,21,,,,69
CDC-002345,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Tourette Syndrome,,Operational Plan,Enacted,sub_program_2_level,2.5,Discretionary,Active,Subcomponent,S026,2,NCBDDD,Division of Human Development and Disability,High,30,21,48,21,,,,69
CDC-002346,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Early Hearing Detection and Intervention,,Operational Plan,Enacted,sub_program_2_level,6.8,Discretionary,Active,Subcomponent,S026,2,NCBDDD,Division of Human Development and Disability,High,30,21,48,21,,,,69
CDC-002347,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Muscular Dystrophy,,Operational Plan,Enacted,sub_program_2_level,9,Discretionary,Active,Subcomponent,S026,2,NCBDDD,Division of Human Development and Disability,High,30,21,48,21,,,,69
CDC-002348,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Attention Deficit Hyperactivity Disorder,,Operational Plan,Enacted,sub_program_2_level,1.9,Discretionary,Active,Subcomponent,S026,2,NCBDDD,Division of Human Development and Disability,High,30,21,48,21,,,,69
CDC-002349,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Fragile X,,Operational Plan,Enacted,sub_program_2_level,2,Discretionary,Active,Subcomponent,S026,2,NCBDDD,Division of Human Development and Disability,High,30,21,48,21,,,,69
CDC-002350,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Spina Bifida,,Operational Plan,Enacted,sub_program_2_level,7.5,Discretionary,Active,Subcomponent,S026,2,NCBDDD,Division of Birth Defects and Infant Disorders,High,0,0,76,,,,,76
CDC-002351,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Congenital Heart Failure,,Operational Plan,Enacted,sub_program_2_level,9.3,Discretionary,Active,Subcomponent,S026,2,NCBDDD,Division of Human Development and Disability,High,30,21,48,21,,,,69
CDC-002352,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Public Health Approach to Blood Disorders,,,Operational Plan,Enacted,sub_program_level,10.4,Discretionary,Active,No,S026,2,NCBDDD,Division of Blood Disorders and Public Health Genomics,High,100,31,,31,,,,31
CDC-002353,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Public Health Approach to Blood Disorders,Sickle Cell Research,,Operational Plan,Enacted,sub_program_2_level,6,Discretionary,Active,Non-add,S026,2,NCBDDD,Division of Blood Disorders and Public Health Genomics,High,100,31,,31,,,,31
CDC-002354,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Hemophilia Activities,,,Operational Plan,Enacted,sub_program_level,3.5,Discretionary,Active,No,S026,2,NCBDDD,Division of Blood Disorders and Public Health Genomics,High,100,31,0,31,0,0,0,31
CDC-002355,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Hemophilia Treatment Centers,,,Operational Plan,Enacted,sub_program_level,5.1,Discretionary,Active,No,S026,2,NCBDDD,Division of Blood Disorders and Public Health Genomics,High,100,31,0,31,0,0,0,31
CDC-002356,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Thalassemia,,,Operational Plan,Enacted,sub_program_level,2.1,Discretionary,Active,No,S026,2,NCBDDD,Division of Blood Disorders and Public Health Genomics,High,100,31,,31,,,,31
CDC-002357,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Neonatal Abstinence Syndrome,,,Operational Plan,Enacted,sub_program_level,4.3,Discretionary,Active,No,S026,2,NCBDDD,Division of Birth Defects and Infant Disorders,High,0,0,76,,,,,76
CDC-002358,2026,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Surveillance for Emerging Threats to Mothers and Babies,,,Operational Plan,Enacted,sub_program_level,23,Discretionary,Active,No,S026,2,NCBDDD,Division of Birth Defects and Infant Disorders,High,0,0,76,,,,,76
CDC-002362,2026,HHS,CDC,Environmental Health,Environmental Health Laboratory,,,Operational Plan,Enacted,sub_program_level,70.8,Discretionary,Active,No,S026,2,NCEH,Division of Laboratory Sciences,High,0,0,282,,,,,282
CDC-002363,2026,HHS,CDC,Environmental Health,Environmental Health Laboratory,Newborn Screening Quality Assurance Program,,Operational Plan,Enacted,sub_program_2_level,21,Discretionary,Active,Non-add,S026,2,NCEH,Division of Laboratory Sciences,High,0,0,282,,,,,282
CDC-002364,2026,HHS,CDC,Environmental Health,Environmental Health Laboratory,Newborn Screening for Severe Combined Immuno. Diseases,,Operational Plan,Enacted,sub_program_2_level,1.3,Discretionary,Active,Non-add,S026,2,NCEH,Division of Laboratory Sciences,High,0,0,282,,,,,282
CDC-002365,2026,HHS,CDC,Environmental Health,Environmental Health Activities,,,Operational Plan,Enacted,sub_program_level,48.6,Discretionary,Active,No,S026,2,NCEH,Division of Environmental Health Science and Practice,High,0,0,,,171,,,171
CDC-002366,2026,HHS,CDC,Environmental Health,Environmental Health Activities,Environmental Health Activities,,Operational Plan,Enacted,sub_program_2_level,17,Discretionary,Active,Subcomponent,S026,2,NCEH,Division of Environmental Health Science and Practice,High,0,0,,,171,,,171
CDC-002367,2026,HHS,CDC,Environmental Health,Environmental Health Activities,Safe Water,,Operational Plan,Enacted,sub_program_2_level,8.6,Discretionary,Active,Subcomponent,S026,2,NCEH,Division of Environmental Health Science and Practice,High,0,0,,,171,,,171
CDC-002368,2026,HHS,CDC,Environmental Health,Environmental Health Activities,Amyotrophic Lateral Sclerosis Registry (ALS),,Operational Plan,Enacted,sub_program_2_level,10,Discretionary,Active,Subcomponent,S026,2,NCEH,Division of Environmental Health Science and Practice,High,0,0,,,171,,,171
CDC-002369,2026,HHS,CDC,Environmental Health,Environmental Health Activities,Climate and Health,,Operational Plan,Enacted,sub_program_2_level,10,Discretionary,Active,Subcomponent,S026,2,NCEH,Division of Environmental Health Science and Practice,High,0,0,,,171,,,171
CDC-002370,2026,HHS,CDC,Environmental Health,Environmental Health Activities,Trevor's Law,,Operational Plan,Enacted,sub_program_2_level,3,Discretionary,Active,Subcomponent,S026,2,NCEH,Division of Environmental Health Science and Practice,High,0,0,,,171,,,171
CDC-002371,2026,HHS,CDC,Environmental Health,Environmental and Health Outcome Tracking Network,,,Operational Plan,Enacted,sub_program_level,34,Discretionary,Active,No,S026,2,NCEH,Division of Environmental Health Science and Practice,High,0,0,,,171,,,171
CDC-002372,2026,HHS,CDC,Environmental Health,Asthma,,,Operational Plan,Enacted,sub_program_level,33.5,Discretionary,Active,No,S026,2,NCEH,Division of Environmental Health Science and Practice,High,0,0,,,171,,,171
CDC-002373,2026,HHS,CDC,Environmental Health,Lead Exposure Registry,,,Operational Plan,Enacted,sub_program_level,5,Discretionary,Active,No,S026,2,NCEH,Division of Environmental Health Science and Practice,High,0,0,,,171,,,171
CDC-002374,2026,HHS,CDC,Environmental Health,Childhood Lead Poisoning Prevention (PPHF),,,Operational Plan,Enacted,sub_program_level,51,PPHF,Active,No,S026,2,NCEH,Division of Environmental Health Science and Practice,High,0,0,,,171,,,171
CDC-002377,2026,HHS,CDC,Injury Prevention and Control,Intentional Injury,,,Operational Plan,Enacted,sub_program_level,164.6,Discretionary,Active,No,S026,2,NCIPC,Division of Violence Prevention,High,54,93,46,,33,93,,172
CDC-002378,2026,HHS,CDC,Injury Prevention and Control,Intentional Injury,Domestic Violence and Sexual Violence,,Operational Plan,Enacted,sub_program_2_level,38.2,Discretionary,Active,Subcomponent,S026,2,NCIPC,Division of Violence Prevention,High,54,93,46,,33,93,,172
CDC-002379,2026,HHS,CDC,Injury Prevention and Control,Intentional Injury,Domestic Violence and Sexual Violence,Child Maltreatment,Operational Plan,Enacted,sub_program_3_level,7.3,Discretionary,Active,Non-add,S026,2,NCIPC,Division of Violence Prevention,High,54,93,46,,33,93,,172
