unique_id,fiscal_year,agency,sub_agency,program,sub_program,sub_program_2,sub_program_3,budget_source,budget_stage,granularity,amount_millions,funding_type,program_status,is_non_add,notes,source_id,source_page
CDC-000034,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,,,,Congressional Justification,Request,program_level,1551.339,Discretionary,Active,No,,S002,142
CDC-000035,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,,,,Congressional Justification,Request,program_level,262.2,PPHF,Active,No,,S002,142
CDC-000036,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,,,,Congressional Justification,Request,program_level,1813.539,Total,Active,No,,S002,142
CDC-000037,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Arthritis,,,Congressional Justification,Request,sub_program_level,11,Discretionary,Active,No,,S002,142
CDC-000038,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Cancer Prevention and Control,,,Congressional Justification,Request,sub_program_level,531.074,Discretionary,Active,No,,S002,142
CDC-000039,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Diabetes,,,Congressional Justification,Request,sub_program_level,102.854,Discretionary,Active,No,,S002,142
CDC-000040,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Diabetes (PPHF),,,Congressional Justification,Request,sub_program_level,52.275,PPHF,Active,No,,S002,142
CDC-000041,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Epilepsy,,,Congressional Justification,Request,sub_program_level,11.5,Discretionary,Active,No,,S002,142
CDC-000042,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,,,Congressional Justification,Request,sub_program_level,62.6,Discretionary,Active,No,,S002,142
CDC-000043,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Heart Disease and Stroke,,,Congressional Justification,Request,sub_program_level,98.03,Discretionary,Active,No,,S002,142
CDC-000044,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Heart Disease and Stroke (PPHF),,,Congressional Justification,Request,sub_program_level,57.075,PPHF,Active,No,,S002,142
CDC-000045,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Hospitals Promoting Breastfeeding (PPHF),,,Congressional Justification,Request,sub_program_level,9.75,PPHF,Active,No,,S002,142
CDC-000046,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Million Hearts (PPHF),,,Congressional Justification,Request,sub_program_level,5,PPHF,Active,No,,S002,142
CDC-000047,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,National Diabetes Prevention Program,,,Congressional Justification,Request,sub_program_level,37.3,Discretionary,Active,No,,S002,142
CDC-000048,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,National Early Child Care Collaboratives (PPHF),,,Congressional Justification,Request,sub_program_level,5,PPHF,Active,No,,S002,142
CDC-000049,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,National Lupus Patient Registry,,,Congressional Justification,Request,sub_program_level,10,Discretionary,Active,No,,S002,142
CDC-000050,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Nutrition Physical Activity and Obesity,,,Congressional Justification,Request,sub_program_level,130.42,Discretionary,Active,No,,S002,142
CDC-000051,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Oral Health,,,Congressional Justification,Request,sub_program_level,20.25,Discretionary,Active,No,,S002,142
CDC-000052,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Prevention Research Centers,,,Congressional Justification,Request,sub_program_level,28.961,Discretionary,Active,No,,S002,142
CDC-000053,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Racial and Ethnic Approach to Community Health,,,Congressional Justification,Request,sub_program_level,68.95,Discretionary,Active,No,,S002,142
CDC-000054,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Safe Motherhood/Infant Health,,,Congressional Justification,Request,sub_program_level,164,Discretionary,Active,No,,S002,142
CDC-000055,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,School Health,,,Congressional Justification,Request,sub_program_level,50,Discretionary,Active,No,,S002,142
CDC-000056,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Social Determinants of Health,,,Congressional Justification,Request,sub_program_level,100,Discretionary,Active,No,,S002,142
CDC-000057,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Tobacco,,,Congressional Justification,Request,sub_program_level,124.4,Discretionary,Active,No,,S002,142
CDC-000058,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Tobacco (PPHF),,,Congressional Justification,Request,sub_program_level,133.1,PPHF,Active,No,,S002,142
CDC-000059,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,Alzheimer's Disease,,Congressional Justification,Request,sub_program_2_level,38.5,Discretionary,Active,Subcomponent,,S002,142
CDC-000060,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,Chronic Disease Education and Awareness,,Congressional Justification,Request,sub_program_2_level,4.5,Discretionary,Active,Subcomponent,,S002,142
CDC-000061,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,Chronic Kidney Disease,,Congressional Justification,Request,sub_program_2_level,4.5,Discretionary,Active,Subcomponent,,S002,142
CDC-000062,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,Excessive Alcohol Use,,Congressional Justification,Request,sub_program_2_level,6,Discretionary,Active,Subcomponent,,S002,142
CDC-000063,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,Glaucoma,,Congressional Justification,Request,sub_program_2_level,4,Discretionary,Active,Subcomponent,,S002,142
CDC-000064,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,Inflammatory Bowel Disease,,Congressional Justification,Request,sub_program_2_level,1.5,Discretionary,Active,Subcomponent,,S002,142
CDC-000065,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,Interstitial Cystitis,,Congressional Justification,Request,sub_program_2_level,1.1,Discretionary,Active,Subcomponent,,S002,142
CDC-000066,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,Vision and Eye Health,,Congressional Justification,Request,sub_program_2_level,2.5,Discretionary,Active,Subcomponent,,S002,142
CDC-000067,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Racial and Ethnic Approach to Community Health,Good Health and Wellness in Indian Country,,Congressional Justification,Request,sub_program_2_level,24,Discretionary,Active,Non-add,,S002,142
CDC-000068,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",,,,Congressional Justification,Request,program_level,222.56,Discretionary,Active,No,,S002,175
CDC-000069,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",,,,Congressional Justification,Request,program_level,222.56,Total,Active,No,,S002,175
CDC-000070,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Child Health and Development,,,Congressional Justification,Request,sub_program_level,71.3,Discretionary,Active,No,,S002,175
CDC-000071,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,,,Congressional Justification,Request,sub_program_level,85.91,Discretionary,Active,No,,S002,175
CDC-000072,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Hemophilia CDC Activities,,,Congressional Justification,Request,sub_program_level,3.5,Discretionary,Active,No,,S002,175
CDC-000073,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Hemophilia Treatment Centers,,,Congressional Justification,Request,sub_program_level,5.1,Discretionary,Active,No,,S002,175
CDC-000074,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Neonatal Abstinence Syndrome,,,Congressional Justification,Request,sub_program_level,4.25,Discretionary,Active,No,,S002,175
CDC-000075,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Public Health Approach to Blood Disorders,,,Congressional Justification,Request,sub_program_level,10.4,Discretionary,Active,No,,S002,175
CDC-000076,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Surveillance for Emerging Threats to Mothers and Babies,,,Congressional Justification,Request,sub_program_level,40,Discretionary,Active,No,,S002,175
CDC-000077,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Thalassemia,,,Congressional Justification,Request,sub_program_level,2.1,Discretionary,Active,No,,S002,175
CDC-000078,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Child Health and Development,Autism,,Congressional Justification,Request,sub_program_2_level,28.1,Discretionary,Active,Subcomponent,,S002,175
CDC-000079,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Child Health and Development,Birth Defects,,Congressional Justification,Request,sub_program_2_level,19,Discretionary,Active,Subcomponent,,S002,175
CDC-000080,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Child Health and Development,Fetal Alcohol Syndrome,,Congressional Justification,Request,sub_program_2_level,11.5,Discretionary,Active,Subcomponent,,S002,175
CDC-000081,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Child Health and Development,Fetal Death,,Congressional Justification,Request,sub_program_2_level,0.9,Discretionary,Active,Subcomponent,,S002,175
CDC-000082,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Child Health and Development,Folic Acid,,Congressional Justification,Request,sub_program_2_level,3.15,Discretionary,Active,Subcomponent,,S002,175
CDC-000083,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Child Health and Development,Infant Health,,Congressional Justification,Request,sub_program_2_level,8.65,Discretionary,Active,Subcomponent,,S002,175
CDC-000084,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Attention Deficit Hyperactivity Disorder,,Congressional Justification,Request,sub_program_2_level,1.9,Discretionary,Active,Subcomponent,,S002,175
CDC-000085,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Congenital Heart Failure,,Congressional Justification,Request,sub_program_2_level,8.25,Discretionary,Active,Subcomponent,,S002,175
CDC-000086,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Disability and Health,,Congressional Justification,Request,sub_program_2_level,45.5,Discretionary,Active,Subcomponent,,S002,175
CDC-000087,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Early Hearing Detection and Intervention,,Congressional Justification,Request,sub_program_2_level,10.76,Discretionary,Active,Subcomponent,,S002,175
CDC-000088,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Fragile X,,Congressional Justification,Request,sub_program_2_level,2,Discretionary,Active,Subcomponent,,S002,175
CDC-000089,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Muscular Dystrophy,,Congressional Justification,Request,sub_program_2_level,7.5,Discretionary,Active,Subcomponent,,S002,175
CDC-000090,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Spina Bifida,,Congressional Justification,Request,sub_program_2_level,7.5,Discretionary,Active,Subcomponent,,S002,175
