unique_id,fiscal_year,agency,sub_agency,program,sub_program,sub_program_2,sub_program_3,budget_source,budget_stage,granularity,amount_millions,funding_type,program_status,is_non_add,notes,source_id,source_page
CDC-000231,2024,HHS,CDC,CDC-Wide Activities and Program Support,,,,Budget in Brief,Request,program_level,829,Discretionary,Active,No,"Discretionary BA only. Calculated: Total ($1,039M) minus PPHF ($210M) = $829M.",S001,39
CDC-000232,2024,HHS,CDC,CDC-Wide Activities and Program Support,,,,Budget in Brief,Request,program_level,210,PPHF,Active,Non-add,,S001,39
CDC-000233,2024,HHS,CDC,CDC-Wide Activities and Program Support,,,,Budget in Brief,Request,program_level,1039,Total,Active,No,,S001,39
CDC-000234,2024,HHS,CDC,Vaccines for Children (VFC),,,,Budget in Brief,Request,program_level,6002,Mandatory,Active,No,From BIB mandatory programs table p.40. Proposed law expanding to CHIP children. | Under the oversight of the Immunization and Respiratory Diseases program. Mandatory funding — not included in discretionary CDC totals.,S001,40
CDC-000235,2024,HHS,CDC,Vaccines for Children (VFC),,,,Budget in Brief,Request,program_level,6002,Total,Active,No,Under the oversight of the Immunization and Respiratory Diseases program. Mandatory funding — not included in discretionary CDC totals.,S001,40
CDC-000236,2024,HHS,CDC,Vaccines for Adults (VFA),,,,Budget in Brief,Request,program_level,1004,Mandatory,Proposed Law,No,Proposed Law. Requires new legislation. From BIB mandatory programs table p.40. | Under the oversight of the Immunization and Respiratory Diseases program. Mandatory funding — not included in discretionary CDC totals.,S001,40
CDC-000237,2024,HHS,CDC,Vaccines for Adults (VFA),,,,Budget in Brief,Request,program_level,1004,Total,Proposed Law,No,Under the oversight of the Immunization and Respiratory Diseases program. Mandatory funding — not included in discretionary CDC totals.,S001,40
CDC-000238,2024,HHS,CDC,PHSSEF / Strengthening Biodefense,,,,Budget in Brief,Request,program_level,6100,Mandatory,Proposed Law,Non-add,Non-add. Proposed Law mandatory via PHSSEF. $6.1B of $20B HHS pandemic preparedness proposal allocated to CDC. Shown as non-add in BIB — not included in CDC program subtotal. Never enacted.,S001,40
CDC-000239,2024,HHS,CDC,PHSSEF / Strengthening Biodefense,,,,Budget in Brief,Request,program_level,6100,Total,Proposed Law,Non-add,Non-add. Total equals Mandatory amount. Proposed Law via PHSSEF — not included in CDC program subtotal.,S001,40
CDC-000240,2024,HHS,CDC,User Fees,,,,Budget in Brief,Request,program_level,2,User Fees,Active,No,"User Fees. Deducted from Total Program Level in ""Total CDC Funding"" table to derive Total Budget Authority.",S001,40
CDC-000241,2024,HHS,CDC,User Fees,,,,Budget in Brief,Request,program_level,2,Total,Active,No,Total for User Fees program line. Equal to User Fees amount ($2M).,S001,40
CDC-000242,2024,HHS,ATSDR,ATSDR,,,,Budget in Brief,Request,aggregate,86,Total,Active,No,"Total ATSDR Program Level (Discretionary only, Budget in Brief). $86.000M. No PPHF or PHS Eval component for ATSDR.",S001,39
CDC-000243,2024,HHS,ATSDR,ATSDR,,,,Budget in Brief,Request,program_level,86,Discretionary,Active,No,,S001,39
CDC-000244,2024,HHS,ATSDR,ATSDR,,,,Budget in Brief,Request,program_level,86,Total,Active,No,Total equals Discretionary — no PPHF or PHS Eval component for this program.,S001,39
CDC-000245,2024,HHS,CDC,CDC,,,,Budget in Brief,Request,aggregate,11635,Total,Active,No,"Total CDC Program Level (Budget in Brief). Sum of all CDC program account Totals excluding ATSDR (separate agency), VFC, VFA, WTC, PHSSEF, and User Fees. Includes EEOICPA mandatory. CDC programs: $11,584M + EEOICPA $51M = $11,635M.",S001,40
CDC-000246,2024,HHS,CDC,Immunization and Respiratory Diseases,,,,Public Law,Enacted,program_level,237.358,Discretionary,Active,No,,S005,1
CDC-000247,2024,HHS,CDC,Immunization and Respiratory Diseases,,,,Public Law,Enacted,program_level,237.358,Total,Active,No,,S005,1
CDC-000248,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",,,,Public Law,Enacted,program_level,1391.056,Discretionary,Active,No,,S005,1
CDC-000249,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",,,,Public Law,Enacted,program_level,1391.056,Total,Active,No,,S005,1
CDC-000250,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,,,,Public Law,Enacted,program_level,708.272,Discretionary,Active,No,,S005,1
CDC-000251,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,,,,Public Law,Enacted,program_level,708.272,Total,Active,No,,S005,1
CDC-000252,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,,,,Public Law,Enacted,program_level,1192.647,Discretionary,Active,No,,S005,1
CDC-000253,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,,,,Public Law,Enacted,program_level,1192.647,Total,Active,No,,S005,1
CDC-000254,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",,,,Public Law,Enacted,program_level,206.06,Discretionary,Active,No,,S005,1
CDC-000255,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",,,,Public Law,Enacted,program_level,206.06,Total,Active,No,,S005,1
CDC-000256,2024,HHS,CDC,Public Health Scientific Services,,,,Public Law,Enacted,program_level,711.553,Discretionary,Active,No,,S005,1
CDC-000257,2024,HHS,CDC,Public Health Scientific Services,,,,Public Law,Enacted,program_level,42.944,PHS Evaluation,Active,No,Section 241 PHS Act evaluation set-aside for health statistics.,S005,1
CDC-000258,2024,HHS,CDC,Public Health Scientific Services,,,,Public Law,Enacted,program_level,754.497,Total,Active,No,,S005,1
CDC-000259,2024,HHS,CDC,Environmental Health,,,,Public Law,Enacted,program_level,191.85,Discretionary,Active,No,,S005,2
CDC-000260,2024,HHS,CDC,Environmental Health,,,,Public Law,Enacted,program_level,191.85,Total,Active,No,,S005,2
CDC-000261,2024,HHS,CDC,Injury Prevention and Control,,,,Public Law,Enacted,program_level,761.379,Discretionary,Active,No,,S005,2
CDC-000262,2024,HHS,CDC,Injury Prevention and Control,,,,Public Law,Enacted,program_level,761.379,Total,Active,No,,S005,2
CDC-000263,2024,HHS,CDC,Occupational Safety and Health,,,,Public Law,Enacted,program_level,362.8,Discretionary,Active,No,,S005,2
CDC-000264,2024,HHS,CDC,Occupational Safety and Health,,,,Public Law,Enacted,program_level,362.8,Total,Active,No,,S005,2
CDC-000265,2024,HHS,CDC,EEOICPA,,,,Public Law,Enacted,program_level,55.358,Mandatory,Active,No,,S005,2
CDC-000266,2024,HHS,CDC,EEOICPA,,,,Public Law,Enacted,program_level,55.358,Total,Active,No,,S005,2
CDC-000267,2024,HHS,CDC,Global Health,,,,Public Law,Enacted,program_level,692.843,Discretionary,Active,No,,S005,2
CDC-000268,2024,HHS,CDC,Global Health,,,,Public Law,Enacted,program_level,692.843,Total,Active,No,,S005,2
CDC-000269,2024,HHS,CDC,Public Health Preparedness and Response,,,,Public Law,Enacted,program_level,938.2,Discretionary,Active,No,,S005,2
CDC-000270,2024,HHS,CDC,Public Health Preparedness and Response,,,,Public Law,Enacted,program_level,938.2,Total,Active,No,,S005,2
CDC-000271,2024,HHS,CDC,Buildings and Facilities,,,,Public Law,Enacted,program_level,40,Discretionary,Active,No,,S005,3
CDC-000272,2024,HHS,CDC,Buildings and Facilities,,,,Public Law,Enacted,program_level,40,Total,Active,No,,S005,3
CDC-000273,2024,HHS,CDC,CDC-Wide Activities and Program Support,,,,Public Law,Enacted,program_level,503.57,Discretionary,Active,No,"Includes $350M for Public Health Infrastructure and Capacity (avail. through Sep 30, 2025) and $25M for Infectious Diseases Rapid Response Reserve Fund.",S005,3
CDC-000274,2024,HHS,CDC,CDC-Wide Activities and Program Support,,,,Public Law,Enacted,program_level,503.57,Total,Active,No,,S005,3
CDC-000275,2024,HHS,CDC,CDC,,,,Public Law,Enacted,aggregate,8035.89,Total,Active,No,"Total CDC budget authority enacted in FY2024 Consolidated Appropriations Act (P.L. 118-47). Sum of all program-level appropriations: $7,937.588M Discretionary + $42.944M PHS Evaluation (section 241) + $55.358M Mandatory (EEOICPA) = $8,035.890M. Excludes PPHF ($1,186.200M) which flows separately from the Prevention and Public Health Fund and does not appear in the enacted bill text.",S005,1
CDC-000276,2024,HHS,CDC,Immunization and Respiratory Diseases,,,,Joint Explanatory Statement,Enacted,program_level,322.901,Discretionary,Active,No,,S022,19
CDC-000277,2024,HHS,CDC,Immunization and Respiratory Diseases,,,,Joint Explanatory Statement,Enacted,program_level,596.39,PPHF,Active,No,,S022,19
CDC-000278,2024,HHS,CDC,Immunization and Respiratory Diseases,,,,Joint Explanatory Statement,Enacted,program_level,919.291,Total,Active,No,,S022,19
CDC-000279,2024,HHS,CDC,Immunization and Respiratory Diseases,Acute Flaccid Myelitis,,,Joint Explanatory Statement,Enacted,sub_program_level,6,Discretionary,Active,No,,S022,19
CDC-000280,2024,HHS,CDC,Immunization and Respiratory Diseases,Influenza Planning and Response,,,Joint Explanatory Statement,Enacted,sub_program_level,231.358,Discretionary,Active,No,,S022,19
CDC-000281,2024,HHS,CDC,Immunization and Respiratory Diseases,Section 317 Immunization Program,,,Joint Explanatory Statement,Enacted,sub_program_level,681.933,Total,Active,No,,S022,19
CDC-000282,2024,HHS,CDC,Immunization and Respiratory Diseases,Section 317 Immunization Program,Section 317 Immunization Program Transfer from the Prevention and Public Health Fund,,Joint Explanatory Statement,Enacted,sub_program_2_level,596.39,PPHF,Active,Subcomponent,,S022,19
CDC-000283,2024,HHS,CDC,Immunization and Respiratory Diseases,Section 317 Immunization Program,Section 317 Immunization Program appropriations,,Joint Explanatory Statement,Enacted,sub_program_2_level,85.543,Discretionary,Active,Subcomponent,,S022,19
CDC-000284,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",,,,Joint Explanatory Statement,Enacted,program_level,1391.056,Discretionary,Active,No,,S022,20
CDC-000285,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",,,,Joint Explanatory Statement,Enacted,program_level,1391.056,Total,Active,No,,S022,20
CDC-000286,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",Domestic HIV/AIDS Prevention and Research,,,Joint Explanatory Statement,Enacted,sub_program_level,1013.712,Discretionary,Active,No,,S022,20
CDC-000287,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",Infectious Diseases and the Opioid Epidemic,,,Joint Explanatory Statement,Enacted,sub_program_level,23,Discretionary,Active,No,,S022,20
CDC-000288,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",Sexually Transmitted Infections,,,Joint Explanatory Statement,Enacted,sub_program_level,174.31,Discretionary,Active,No,,S022,20
CDC-000289,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",Tuberculosis,,,Joint Explanatory Statement,Enacted,sub_program_level,137.034,Discretionary,Active,No,,S022,20
CDC-000290,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",Viral Hepatitis,,,Joint Explanatory Statement,Enacted,sub_program_level,43,Discretionary,Active,No,,S022,20
CDC-000291,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",Domestic HIV/AIDS Prevention and Research,HIV Initiative,,Joint Explanatory Statement,Enacted,sub_program_2_level,220,Discretionary,Active,Non-add,,S022,20
CDC-000292,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",Domestic HIV/AIDS Prevention and Research,School Health-HIV,,Joint Explanatory Statement,Enacted,sub_program_2_level,38.081,Discretionary,Active,Non-add,,S022,20
CDC-000293,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,,,,Joint Explanatory Statement,Enacted,program_level,708.272,Discretionary,Active,No,,S022,21
CDC-000294,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,,,,Joint Explanatory Statement,Enacted,program_level,52,PPHF,Active,No,,S022,21
CDC-000295,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,,,,Joint Explanatory Statement,Enacted,program_level,760.272,Total,Active,No,,S022,21
CDC-000296,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Advanced Molecular Detection,,,Joint Explanatory Statement,Enacted,sub_program_level,40,Discretionary,Active,No,,S022,21
CDC-000297,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Antibiotic Resistance Initiative,,,Joint Explanatory Statement,Enacted,sub_program_level,197,Discretionary,Active,No,,S022,21
CDC-000298,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Chronic Fatigue Syndrome,,,Joint Explanatory Statement,Enacted,sub_program_level,5.4,Discretionary,Active,No,,S022,21
CDC-000299,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Emerging Infectious Diseases,,,Joint Explanatory Statement,Enacted,sub_program_level,213.997,Discretionary,Active,No,,S022,21
CDC-000300,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Epidemiology and Lab Capacity Transfer from the Prevention and Public Health Fund,,,Joint Explanatory Statement,Enacted,sub_program_level,40,PPHF,Active,No,,S022,22
CDC-000301,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Food Safety,,,Joint Explanatory Statement,Enacted,sub_program_level,72,Discretionary,Active,No,,S022,21
CDC-000302,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Harmful Algal Blooms,,,Joint Explanatory Statement,Enacted,sub_program_level,3.5,Discretionary,Active,No,,S022,21
CDC-000303,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Healthcare-Associated Infections Transfer from the Prevention and Public Health Fund,,,Joint Explanatory Statement,Enacted,sub_program_level,12,PPHF,Active,No,,S022,22
CDC-000304,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Lyme Disease,,,Joint Explanatory Statement,Enacted,sub_program_level,27,Discretionary,Active,No,,S022,21
CDC-000305,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,National Healthcare Safety Network,,,Joint Explanatory Statement,Enacted,sub_program_level,24,Discretionary,Active,No,,S022,21
CDC-000306,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Prion Disease,,,Joint Explanatory Statement,Enacted,sub_program_level,8,Discretionary,Active,No,,S022,21
CDC-000307,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Quarantine,,,Joint Explanatory Statement,Enacted,sub_program_level,53.772,Discretionary,Active,No,,S022,21
CDC-000308,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Vector-Borne Diseases,,,Joint Explanatory Statement,Enacted,sub_program_level,63.603,Discretionary,Active,No,,S022,21
CDC-000309,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,,,,Joint Explanatory Statement,Enacted,program_level,1192.647,Discretionary,Active,No,,S022,22
CDC-000310,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,,,,Joint Explanatory Statement,Enacted,program_level,241.267,PPHF,Active,No,,S022,22
CDC-000311,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,,,,Joint Explanatory Statement,Enacted,program_level,1433.914,Total,Active,No,,S022,22
CDC-000312,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Alzheimer's Disease,,,Joint Explanatory Statement,Enacted,sub_program_level,39.5,Discretionary,Active,No,,S022,23
CDC-000313,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Arthritis,,,Joint Explanatory Statement,Enacted,sub_program_level,11,Discretionary,Active,No,,S022,24
CDC-000314,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Breast Cancer Awareness for Young Women,,,Joint Explanatory Statement,Enacted,sub_program_level,6.96,Discretionary,Active,No,,S022,23
CDC-000315,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Breast and Cervical Cancer,,,Joint Explanatory Statement,Enacted,sub_program_level,235.5,Discretionary,Active,No,,S022,23
CDC-000316,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Cancer Registries,,,Joint Explanatory Statement,Enacted,sub_program_level,53.44,Discretionary,Active,No,,S022,23
CDC-000317,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Cancer Survivorship Resource Center,,,Joint Explanatory Statement,Enacted,sub_program_level,0.725,Discretionary,Active,No,,S022,24
CDC-000318,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Chronic Disease Education and Awareness,,,Joint Explanatory Statement,Enacted,sub_program_level,4.5,Discretionary,Active,No,,S022,23
CDC-000319,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Chronic Kidney Disease,,,Joint Explanatory Statement,Enacted,sub_program_level,4.5,Discretionary,Active,No,,S022,23
CDC-000320,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Colorectal Cancer,,,Joint Explanatory Statement,Enacted,sub_program_level,44.294,Discretionary,Active,No,,S022,23
CDC-000321,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Comprehensive Cancer,,,Joint Explanatory Statement,Enacted,sub_program_level,22.425,Discretionary,Active,No,,S022,23
CDC-000322,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Diabetes,,,Joint Explanatory Statement,Enacted,sub_program_level,156.129,Total,Active,No,,S022,23
CDC-000323,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Epilepsy,,,Joint Explanatory Statement,Enacted,sub_program_level,11.5,Discretionary,Active,No,,S022,24
CDC-000324,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Excessive Alcohol Use,,,Joint Explanatory Statement,Enacted,sub_program_level,6,Discretionary,Active,No,,S022,23
CDC-000325,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Heart Disease and Stroke,,,Joint Explanatory Statement,Enacted,sub_program_level,155.105,Total,Active,No,,S022,23
CDC-000326,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Hospitals Promoting Breastfeeding Transfer from the Prevention and Public Health Fund,,,Joint Explanatory Statement,Enacted,sub_program_level,9.75,PPHF,Active,No,,S022,24
CDC-000327,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Inflammatory Bowel Disease,,,Joint Explanatory Statement,Enacted,sub_program_level,2,Discretionary,Active,No,,S022,23
CDC-000328,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Interstitial Cystitis,,,Joint Explanatory Statement,Enacted,sub_program_level,1.1,Discretionary,Active,No,,S022,23
CDC-000329,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Johanna's Law,,,Joint Explanatory Statement,Enacted,sub_program_level,11.5,Discretionary,Active,No,,S022,23
CDC-000330,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Million Hearts Transfer from the Prevention and Public Health Fund,,,Joint Explanatory Statement,Enacted,sub_program_level,5,PPHF,Active,No,,S022,24
CDC-000331,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,National Diabetes Prevention Program,,,Joint Explanatory Statement,Enacted,sub_program_level,37.3,Discretionary,Active,No,,S022,23
CDC-000332,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,National Early Child Care Collaboratives Transfer from the Prevention and Public Health Fund,,,Joint Explanatory Statement,Enacted,sub_program_level,5,PPHF,Active,No,,S022,24
CDC-000333,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,National Lupus Registry,,,Joint Explanatory Statement,Enacted,sub_program_level,10,Discretionary,Active,No,,S022,24
CDC-000334,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,"Nutrition, Physical Activity, and Obesity",,,Joint Explanatory Statement,Enacted,sub_program_level,58.42,Discretionary,Active,No,,S022,22
CDC-000335,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Oral Health,,,Joint Explanatory Statement,Enacted,sub_program_level,20.25,Discretionary,Active,No,,S022,24
CDC-000336,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Ovarian Cancer,,,Joint Explanatory Statement,Enacted,sub_program_level,15,Discretionary,Active,No,,S022,24
CDC-000337,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Prevention Research Centers,,,Joint Explanatory Statement,Enacted,sub_program_level,28.961,Discretionary,Active,No,,S022,23
CDC-000338,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Prostate Cancer,,,Joint Explanatory Statement,Enacted,sub_program_level,15.205,Discretionary,Active,No,,S022,24
CDC-000339,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Racial and Ethnic Approaches to Community Health (REACH),,,Joint Explanatory Statement,Enacted,sub_program_level,68.95,Discretionary,Active,No,,S022,24
CDC-000340,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Safe Motherhood/Infant Health,,,Joint Explanatory Statement,Enacted,sub_program_level,110.5,Discretionary,Active,No,,S022,24
CDC-000341,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,School Health,,,Joint Explanatory Statement,Enacted,sub_program_level,19.4,Discretionary,Active,No,,S022,22
CDC-000342,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Skin Cancer,,,Joint Explanatory Statement,Enacted,sub_program_level,5,Discretionary,Active,No,,S022,24
CDC-000343,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Social Determinants of Health,,,Joint Explanatory Statement,Enacted,sub_program_level,6,Discretionary,Active,No,,S022,24
CDC-000344,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Tobacco,,,Joint Explanatory Statement,Enacted,sub_program_level,246.5,Total,Active,No,,S022,22
CDC-000345,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Vision and Eye Health,,,Joint Explanatory Statement,Enacted,sub_program_level,6.5,Discretionary,Active,No,,S022,22
CDC-000346,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Breast and Cervical Cancer,WISEWOMAN,,Joint Explanatory Statement,Enacted,sub_program_2_level,34.62,Discretionary,Active,Non-add,,S022,23
CDC-000347,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Diabetes,Diabetes Transfer from the Prevention and Public Health Fund,,Joint Explanatory Statement,Enacted,sub_program_2_level,66.412,PPHF,Active,Subcomponent,,S022,23
CDC-000348,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Diabetes,Diabetes appropriations,,Joint Explanatory Statement,Enacted,sub_program_2_level,89.717,Discretionary,Active,Subcomponent,,S022,23
CDC-000349,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Heart Disease and Stroke,Heart Disease and Stroke Transfer from the Prevention and Public Health Fund,,Joint Explanatory Statement,Enacted,sub_program_2_level,29.255,PPHF,Active,Subcomponent,,S022,23
CDC-000350,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Heart Disease and Stroke,Heart Disease and Stroke appropriations,,Joint Explanatory Statement,Enacted,sub_program_2_level,125.85,Discretionary,Active,Subcomponent,,S022,23
CDC-000351,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,"Nutrition, Physical Activity, and Obesity",High Obesity Rate Counties,,Joint Explanatory Statement,Enacted,sub_program_2_level,16.5,Discretionary,Active,Non-add,,S022,22
CDC-000352,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Racial and Ethnic Approaches to Community Health (REACH),Good Health and Wellness in Indian Country,,Joint Explanatory Statement,Enacted,sub_program_2_level,24,Discretionary,Active,Non-add,,S022,24
CDC-000353,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Tobacco,Tobacco Transfer from the Prevention and Public Health Fund,,Joint Explanatory Statement,Enacted,sub_program_2_level,125.85,PPHF,Active,Subcomponent,,S022,22
CDC-000354,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Tobacco,Tobacco appropriations,,Joint Explanatory Statement,Enacted,sub_program_2_level,120.65,Discretionary,Active,Subcomponent,,S022,22
CDC-000355,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",,,,Joint Explanatory Statement,Enacted,program_level,206.06,Discretionary,Active,No,,S022,26
CDC-000356,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",,,,Joint Explanatory Statement,Enacted,program_level,206.06,Total,Active,No,,S022,26
CDC-000357,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Attention Deficit Hyperactivity Disorder,,,Joint Explanatory Statement,Enacted,sub_program_level,1.9,Discretionary,Active,No,,S022,27
CDC-000358,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Autism,,,Joint Explanatory Statement,Enacted,sub_program_level,28.1,Discretionary,Active,No,,S022,26
CDC-000359,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Birth Defects,,,Joint Explanatory Statement,Enacted,sub_program_level,19,Discretionary,Active,No,,S022,26
CDC-000360,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Congenital Heart Disease,,,Joint Explanatory Statement,Enacted,sub_program_level,8.25,Discretionary,Active,No,,S022,27
CDC-000361,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Disability & Health,,,Joint Explanatory Statement,Enacted,sub_program_level,45.5,Discretionary,Active,No,,S022,27
CDC-000362,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Early Hearing Detection and Intervention,,,Joint Explanatory Statement,Enacted,sub_program_level,10.76,Discretionary,Active,No,,S022,27
CDC-000363,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Fetal Alcohol Syndrome,,,Joint Explanatory Statement,Enacted,sub_program_level,11.5,Discretionary,Active,No,,S022,26
CDC-000364,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Fetal Death,,,Joint Explanatory Statement,Enacted,sub_program_level,0.9,Discretionary,Active,No,,S022,26
CDC-000365,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Folic Acid,,,Joint Explanatory Statement,Enacted,sub_program_level,3.15,Discretionary,Active,No,,S022,26
CDC-000366,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Fragile X,,,Joint Explanatory Statement,Enacted,sub_program_level,2,Discretionary,Active,No,,S022,27
CDC-000367,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Hemophilia Activities,,,Joint Explanatory Statement,Enacted,sub_program_level,3.5,Discretionary,Active,No,,S022,27
CDC-000368,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Hemophilia Treatment Centers,,,Joint Explanatory Statement,Enacted,sub_program_level,5.1,Discretionary,Active,No,,S022,27
CDC-000369,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Infant Health,,,Joint Explanatory Statement,Enacted,sub_program_level,8.65,Discretionary,Active,No,,S022,26
CDC-000370,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Muscular Dystrophy,,,Joint Explanatory Statement,Enacted,sub_program_level,8,Discretionary,Active,No,,S022,27
CDC-000371,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Neonatal Abstinence Syndrome,,,Joint Explanatory Statement,Enacted,sub_program_level,4.25,Discretionary,Active,No,,S022,27
CDC-000372,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Public Health Approach to Blood Disorders,,,Joint Explanatory Statement,Enacted,sub_program_level,10.4,Discretionary,Active,No,,S022,27
CDC-000373,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Spina Bifida,,,Joint Explanatory Statement,Enacted,sub_program_level,7.5,Discretionary,Active,No,,S022,27
